TicketID,ApplicationName,AssignmentGroup,Status,Category,Subcategory,Urgency,Priority,Impact,ReassignmentCount
INC4175513,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4171102,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4170875,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4160753,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4155944,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4146188,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4142418,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,1
INC4140455,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4122083,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4116175,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4115884,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2587206,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,1,3,3,2
INC2587250,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,1
INC2588267,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,1
INC2588359,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,1,3,3,1
INC2603916,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,1,3,3,1
INC2616229,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2617352,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2627441,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2627734,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2627804,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2629165,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2629471,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2640661,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2640714,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2640784,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2640816,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2654294,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2671662,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,1
INC2673340,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2760724,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,1,3,3,0
INC2761091,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,0
INC2764302,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,0
INC2776036,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,0
INC2829022,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,2,3,2,0
INC2831419,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,2,3,2,0
INC2870004,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,0
INC2887443,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,1,2,2,1
INC2944306,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Application Management Tools,Unknown,3,4,3,1
INC2968378,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,2,3,2,0
INC2971082,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,1
INC2980508,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2983641,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,0
INC2986072,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Customer Care,3,4,3,0
INC2994621,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Software,Unknown,3,4,3,1
INC2995949,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC2996523,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,3,4,3,2
INC3001954,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3002212,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,0
INC3002214,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,0
INC3002714,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3002743,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3002917,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3017648,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,2,0
INC3022172,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Unknown,3,4,3,0
INC3023358,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,1,3,3,1
INC3024662,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Inquiry / Help,Unknown,2,3,2,1
INC3035768,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Business Application,Customer Care,3,4,3,0
INC3039906,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC3040122,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
